name,phone,website,googlemaps_link,category,zone
APK TEX - Erode,"
074484 86666",,"https://www.google.com/maps/place/APK+TEX+-+Erode/@11.3619185,77.6928685,15z/data=!4m10!1m2!2m1!1stex+in+Erode!3m6!1s0x3ba96f1363b6c2ff:0xfaa850cf3b1d6245!8m2!3d11.3401887!4d77.7244029!15sCgx0ZXggaW4gRXJvZGVaDiIMdGV4IGluIGVyb2RlkgEKc2FyZWVfc2hvcOABAA!16s%2Fg%2F11q961yp4g?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",tex,Erode
"SRI SHAKTHI TEX - Melange, Rotto, Bag cotton fabrics, White shirting fabrics, Bedsheets, fabric wholesale shop erode","
097873 10101",http://www.srishakthitex.in/,"https://www.google.com/maps/place/APK+TEX+-+Erode/@11.3401887,77.7053485,15z/data=!4m10!1m2!2m1!1stex+in+Erode!3m6!1s0x3ba96f1363b6c2ff:0xfaa850cf3b1d6245!8m2!3d11.3401887!4d77.7244029!15sCgx0ZXggaW4gRXJvZGVaDiIMdGV4IGluIGVyb2RlkgEKc2FyZWVfc2hvcOABAA!16s%2Fg%2F11q961yp4g?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",tex,Erode
Siragiri Kandhan Tex - SK Tex,,,"https://www.google.com/maps/place/SRI+SHAKTHI+TEX+-+Melange,+Rotto,+Bag+cotton+fabrics,+White+shirting+fabrics,+Bedsheets,+fabric+wholesale+shop+erode/@11.3401887,77.7053485,15z/data=!4m10!1m2!2m1!1stex+in+Erode!3m6!1s0x3ba96f38c0e81141:0x12fd26623d8c9512!8m2!3d11.3418224!4d77.7220776!15sCgx0ZXggaW4gRXJvZGVaDiIMdGV4IGluIGVyb2RlkgERZmFicmljX3dob2xlc2FsZXLgAQA!16s%2Fg%2F11c0xh8xx4?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",tex,Erode
"J Tex, Erode","
090035 77778",,"https://www.google.com/maps/place/Siragiri+Kandhan+Tex+-+SK+Tex/@11.3401887,77.7053485,15z/data=!4m10!1m2!2m1!1stex+in+Erode!3m6!1s0x3ba96fd3050a4261:0x6f2aba70d1c2e031!8m2!3d11.3420457!4d77.7246789!15sCgx0ZXggaW4gRXJvZGVaDiIMdGV4IGluIGVyb2RlkgETY2xvdGhpbmdfd2hvbGVzYWxlcpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VRNWR6WmZVRFpCUlJBQuABAPoBBAhJEDA!16s%2Fg%2F11sjgc01sd?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",tex,Erode
S.V.N Tex,"
094430 30261",,"https://www.google.com/maps/place/J+Tex,+Erode/@11.3401887,77.7053485,15z/data=!4m10!1m2!2m1!1stex+in+Erode!3m6!1s0x3ba96fdc55f8b337:0xbb95f04ac861ea3d!8m2!3d11.3415397!4d77.6885158!15sCgx0ZXggaW4gRXJvZGWSAR9jbG90aGVzX2FuZF9mYWJyaWNfbWFudWZhY3R1cmVy4AEA!16s%2Fg%2F11j0qg3stq?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",tex,Erode
Texvalley,"
096881 28555",http://www.texvalleyindia.com/,"https://www.google.com/maps/place/S.V.N+Tex/@11.3415397,77.6694614,15z/data=!4m10!1m2!2m1!1stex+in+Erode!3m6!1s0x3ba96fe3183f475b:0xb0a2e91fa1c82fec!8m2!3d11.3403858!4d77.7262905!15sCgx0ZXggaW4gRXJvZGVaDiIMdGV4IGluIGVyb2RlkgETY2xvdGhpbmdfd2hvbGVzYWxlcuABAA!16s%2Fg%2F11spxf__7k?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",tex,Erode
THE CLASSIC CREATION,"
093456 78353",,"https://www.google.com/maps/place/THE+CLASSIC+CREATION/@11.3724457,77.5973258,13z/data=!4m10!1m2!2m1!1screation+in+Erode!3m6!1s0x3ba96f569c59fc35:0x1580d4fa4da40cc5!8m2!3d11.3521044!4d77.7414321!15sChFjcmVhdGlvbiBpbiBFcm9kZVoTIhFjcmVhdGlvbiBpbiBlcm9kZZIBD2RpZ2l0YWxfcHJpbnRlcpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VONE5rcHljVzFuUlJBQuABAPoBBAgAEEA!16s%2Fg%2F11cmyv7twt?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",creation,Erode
Textile Creations (India) Pvt Ltd,"
0424 221 0653",http://www.textilecreations.net/,"https://www.google.com/maps/place/THE+CLASSIC+CREATION/@11.3724457,77.5973258,13z/data=!4m10!1m2!2m1!1screation+in+Erode!3m6!1s0x3ba96f569c59fc35:0x1580d4fa4da40cc5!8m2!3d11.3521044!4d77.7414321!15sChFjcmVhdGlvbiBpbiBFcm9kZVoTIhFjcmVhdGlvbiBpbiBlcm9kZZIBD2RpZ2l0YWxfcHJpbnRlcpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VONE5rcHljVzFuUlJBQuABAPoBBAgAEEA!16s%2Fg%2F11cmyv7twt?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",creation,Erode
VAANAM CREATIONS ERODE,"
096264 93919",http://www.vaanamcreations.com/,"https://www.google.com/maps/place/Textile+Creations+(India)+Pvt+Ltd/@11.3724457,77.5973258,13z/data=!4m10!1m2!2m1!1screation+in+Erode!3m6!1s0x3ba96f5cc45d0723:0x1805410b35924976!8m2!3d11.3390268!4d77.7346504!15sChFjcmVhdGlvbiBpbiBFcm9kZZIBDG1hbnVmYWN0dXJlcuABAA!16s%2Fg%2F11bwff353y?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",creation,Erode
Image Creations,"
096884 51731",,"https://www.google.com/maps/place/VAANAM+CREATIONS+ERODE/@11.3724457,77.5973258,13z/data=!4m10!1m2!2m1!1screation+in+Erode!3m6!1s0x3ba96f833fb43af7:0x96e5b094ec26d17e!8m2!3d11.3518782!4d77.6948864!15sChFjcmVhdGlvbiBpbiBFcm9kZVoTIhFjcmVhdGlvbiBpbiBlcm9kZZIBCWdpZnRfc2hvcOABAA!16s%2Fg%2F11nxv8jtd5?entry=ttu&g_ep=EgoyMDI1MTIwOS4wIKXMDSoASAFQAw%3D%3D",creation,Erode
